mutation_type,property,fp_count,total_count,fp_percentage
functional_relevance,visual_clarity,4465,5820,76.72
functional_relevance,technical_quality,830,5820,14.26
functional_relevance,standard_presentation,901,5820,15.48
functional_relevance,text_image_coherence,5398,5820,92.75
functional_relevance,fair_representation,1,5820,0.02
visual_clarity,functional_relevance,1740,5820,29.90
visual_clarity,technical_quality,1383,5820,23.76
visual_clarity,standard_presentation,119,5820,2.04
visual_clarity,text_image_coherence,1509,5820,25.93
visual_clarity,fair_representation,0,5820,0.00
technical_quality,functional_relevance,2764,5820,47.49
technical_quality,visual_clarity,4196,5820,72.10
technical_quality,standard_presentation,887,5820,15.24
technical_quality,text_image_coherence,2043,5820,35.10
technical_quality,fair_representation,0,5820,0.00
standard_presentation,functional_relevance,1482,5820,25.46
standard_presentation,visual_clarity,1734,5820,29.79
standard_presentation,technical_quality,531,5820,9.12
standard_presentation,text_image_coherence,983,5820,16.89
standard_presentation,fair_representation,0,5820,0.00
text_image_coherence,functional_relevance,4959,5820,85.21
text_image_coherence,visual_clarity,3628,5820,62.34
text_image_coherence,technical_quality,27,5820,0.46
text_image_coherence,standard_presentation,296,5820,5.09
text_image_coherence,fair_representation,0,5820,0.00
fair_representation,functional_relevance,0,0,0.00
fair_representation,visual_clarity,0,0,0.00
fair_representation,technical_quality,0,0,0.00
fair_representation,standard_presentation,0,0,0.00
fair_representation,text_image_coherence,0,0,0.00
