mutation_type,property,fp_count,total_count,fp_percentage
functional_relevance,visual_clarity,4635,5820,79.64
functional_relevance,technical_quality,440,5820,7.56
functional_relevance,standard_presentation,349,5820,6.00
functional_relevance,text_image_coherence,5434,5820,93.37
functional_relevance,fair_representation,0,5820,0.00
visual_clarity,functional_relevance,1814,5820,31.17
visual_clarity,technical_quality,985,5820,16.92
visual_clarity,standard_presentation,69,5820,1.19
visual_clarity,text_image_coherence,2365,5820,40.64
visual_clarity,fair_representation,0,5820,0.00
technical_quality,functional_relevance,2572,5820,44.19
technical_quality,visual_clarity,4353,5820,74.79
technical_quality,standard_presentation,609,5820,10.46
technical_quality,text_image_coherence,2347,5820,40.33
technical_quality,fair_representation,1,5820,0.02
standard_presentation,functional_relevance,1338,5818,23.00
standard_presentation,visual_clarity,1869,5818,32.12
standard_presentation,technical_quality,292,5818,5.02
standard_presentation,text_image_coherence,1247,5818,21.43
standard_presentation,fair_representation,1,5818,0.02
text_image_coherence,functional_relevance,5133,5820,88.20
text_image_coherence,visual_clarity,3917,5820,67.30
text_image_coherence,technical_quality,47,5820,0.81
text_image_coherence,standard_presentation,213,5820,3.66
text_image_coherence,fair_representation,0,5820,0.00
fair_representation,functional_relevance,0,0,0.00
fair_representation,visual_clarity,0,0,0.00
fair_representation,technical_quality,0,0,0.00
fair_representation,standard_presentation,0,0,0.00
fair_representation,text_image_coherence,0,0,0.00
